mapped_pincode,mapped_city_db,mapped_state_db,mapped_city_tat,Latitude,Longitude
533483,Addateegala,AP,Addateegala,17.478942,82.023482
700133,Kolkata,WB,Kolkata,22.676857,88.443351
741157,Plassey,WB,Plassey,23.785141,88.248961
643270,Gudalur,TN,Gudalur,11.473059,76.381284
412305,Nira,MH,Nira,18.102354,74.211685
388545,Anand,GJ,Anand,22.443021,72.871798
502301,Pregnapur,TS,Pregnapur,17.836734,78.688146
560066,Bangalore,KA,Bangalore,12.964856,77.750137
472331,Jatara,MP,Jatara,25.071699,78.868066
364710,Botad,GJ,Botad,22.183967,71.645793
721505,Jhargram,WB,Jhargram,22.485028,86.855157
854205,Bhawanipur Rajdham,BR,Bhawanipur Rajdham,25.648432,87.143994
243002,Bareilly,UP,Bareilly,28.398033,79.455061
632209,Gudiyattam,TN,Gudiyattam,12.95226,78.962133
585441,Bidar,KA,Bidar,17.91013,77.502695
614617,Manamelkudi,TN,Manamelkudi,10.018406,79.229442
629153,Marthandam,TN,Marthandam,8.330275,77.169018
331025,Malsisar,RJ,Malsisar,28.306292,75.289751
327602,Kushalgarh,RJ,Kushalgarh,23.260314,74.289076
643253,Gudalur,TN,Gudalur,11.52437,76.328734
276122,Jiyanpur,UP,Jiyanpur,26.278392,83.286063
670662,Thalassery,KL,Thalassery,11.800708,75.447525
770022,Bamra,OR,Bamra,22.06128,84.283416
518596,Nandyal,AP,Nandyal,15.486905,78.485506
670691,Kuthuparamba,KL,Kuthuparamba,11.810158,75.551677
825301,hazaribagh,JH,hazaribagh,23.99223,85.373396
500001,Hyderabad,TS,Hyderabad,17.390782,78.465615
731101,Suri,WB,Suri,23.902827,87.525067
788011,Silchar,AS,Silchar,24.688703,92.742491
630710,Paramakudi,TN,Paramakudi,9.607737,78.717606
600113,Chennai,TN,Chennai,12.983193,80.237719
392105,Bharuch,GJ,Bharuch,21.73194,73.011828
490028,Durg,CG,Durg,21.230727,81.363283
509352,Makthal,TS,Makthal,16.401033,77.366885
504002,Adilabad,TS,Adilabad,19.658084,78.529692
768031,Bargarh,OR,Bargarh,21.463957,83.534514
786184,Chabua,AS,Chabua,27.482724,95.173176
